t,C(t)
11166.0,0.0016124218512840907
11167.0,0.0017348784633574809
11168.0,0.0018176392228578088
11169.0,0.001878549027282606
11170.0,0.001960598103116475
11171.0,0.0021159465057548894
11172.0,0.0022536656828354997
11173.0,0.002367301890969035
11174.0,0.002431367798091218
11175.0,0.0024640651987357163
11176.0,0.00251974665854728
11177.0,0.002602982737072157
11178.0,0.002572264210806903
11179.0,0.0024843803744422303
11180.0,0.0021326026035902376
11181.0,0.0016932594159234974
11182.0,0.00138097021552694
11183.0,0.0010314852013621914
11184.0,0.0006700396221230358
11185.0,0.00026635718082603253
11186.0,-0.0002192140895275288
11187.0,-0.0007059488158276598
11188.0,-0.0011886494961829276
11189.0,-0.001567000994753682
11190.0,-0.001909907997305629
11191.0,-0.0022233189084816976
11192.0,-0.0024313436460947067
11193.0,-0.002668764589727376
11194.0,-0.0028585093346385785
11195.0,-0.003082118177902973
11196.0,-0.003380207850684727
11197.0,-0.0034837824378917926
11198.0,-0.0035915295371797256
11199.0,-0.0036871362982642203
11200.0,-0.0037636633686027377
11201.0,-0.0038382293011832514
11202.0,-0.0038499005995100916
11203.0,-0.003863730777374862
11204.0,-0.0039422314824225525
11205.0,-0.0040502355378410635
11206.0,-0.004195482401869914
11207.0,-0.004374169372209791
11208.0,-0.004427699021215712
11209.0,-0.004517675198832652
11210.0,-0.004523019170349523
11211.0,-0.004476734926244017
11212.0,-0.0044033257188333804
11213.0,-0.004336653925444723
11214.0,-0.00429394384850289
11215.0,-0.0044152412920394095
11216.0,-0.004445076514503292
11217.0,-0.004377535496910324
11218.0,-0.004224611487869069
11219.0,-0.004170505130665048
11220.0,-0.004142138850882551
11221.0,-0.004046044590148541
11222.0,-0.0040234665044708365
11223.0,-0.004077749328145935
11224.0,-0.0040853424458738175
11225.0,-0.004055198653953231
11226.0,-0.003989716738036544
11227.0,-0.003861989485735649
11228.0,-0.0038077828740410596
11229.0,-0.003691269467266393
11230.0,-0.0036902901104614244
11231.0,-0.0037944425568383444
11232.0,-0.0038435464462396054
11233.0,-0.00376790210486834
11234.0,-0.0035704088302061037
11235.0,-0.0033943437921290444
11236.0,-0.0032041520689604685
11237.0,-0.003186558120461142
11238.0,-0.0032594138472292256
11239.0,-0.0032856417978924545
11240.0,-0.003387310105296818
11241.0,-0.003497628151417627
11242.0,-0.0035746708590927057
11243.0,-0.0036759396576361188
11244.0,-0.003956175603106439
11245.0,-0.004227642613651413
11246.0,-0.004585374380706776
11247.0,-0.0049690199859740705
11248.0,-0.005300514870147513
11249.0,-0.005549958209443493
11250.0,-0.005771240979178333
11251.0,-0.00598187653552817
11252.0,-0.006111620056079289
11253.0,-0.006252585339702105
11254.0,-0.0062907023469674726
11255.0,-0.006427961602500586
11256.0,-0.006584102126449889
11257.0,-0.0067417828182070975
11258.0,-0.006750142833192182
11259.0,-0.006744690625168554
11260.0,-0.006643370844189038
11261.0,-0.006358800841326277
11262.0,-0.006116511828501385
11263.0,-0.005911999226899105
